caseid,educ,satjob
6306,12,Very Satisfied
6307,12,Very Satisfied
6308,3,NA
6309,3,NA
6310,13,Mod. Satisfied
6311,16,NA
6312,12,Very Satisfied
6313,6,NA
6314,7,A Little Dissat
6315,8,NA
6316,10,NA
6317,12,A Little Dissat
6318,8,NA
6319,11,Very Satisfied
6320,18,Very Satisfied
6321,8,NA
6322,11,Mod. Satisfied
6323,15,Very Satisfied
6324,16,NA
6325,16,Very Satisfied
6326,16,Very Satisfied
6327,12,Mod. Satisfied
6328,9,Mod. Satisfied
6329,10,NA
6330,11,NA
6331,12,Mod. Satisfied
6332,10,Very Dissatisfied
6333,14,Mod. Satisfied
6334,2,NA
6335,6,Mod. Satisfied
6336,7,NA
6337,12,Very Satisfied
6338,16,Very Satisfied
6339,7,NA
6340,12,Mod. Satisfied
6341,12,Very Dissatisfied
6342,8,Very Satisfied
6343,8,Very Satisfied
6344,12,Very Satisfied
6345,12,Very Dissatisfied
6346,9,NA
6347,12,Very Satisfied
6348,19,Very Satisfied
6349,12,Very Satisfied
6350,18,Mod. Satisfied
6351,19,Very Satisfied
6352,16,Very Satisfied
6353,15,Very Satisfied
6354,3,NA
6355,6,Mod. Satisfied
6356,19,Very Satisfied
6357,16,Very Satisfied
6358,13,Very Satisfied
6359,12,Mod. Satisfied
6360,16,Mod. Satisfied
6361,5,Very Satisfied
6362,8,Very Satisfied
6363,12,Very Satisfied
6364,12,Very Dissatisfied
6365,14,NA
6366,14,Very Satisfied
6367,18,Very Satisfied
6368,12,Very Satisfied
6369,16,Very Satisfied
6370,12,Mod. Satisfied
6371,12,Mod. Satisfied
6372,12,Very Dissatisfied
6373,10,Very Satisfied
6374,10,Mod. Satisfied
6375,14,Very Satisfied
6376,13,Mod. Satisfied
6377,12,A Little Dissat
6378,8,NA
6379,12,Very Satisfied
6380,12,Very Satisfied
6381,5,NA
6382,11,Mod. Satisfied
6383,11,NA
6384,6,Mod. Satisfied
6385,6,NA
6386,9,Mod. Satisfied
6387,17,Very Satisfied
6388,12,Very Satisfied
6389,12,Very Dissatisfied
6390,12,Very Satisfied
6391,15,Very Satisfied
6392,8,Very Satisfied
6393,10,Very Satisfied
6394,10,Mod. Satisfied
6395,20,Very Satisfied
6396,15,NA
6397,11,Very Satisfied
6398,2,Very Satisfied
6399,16,Mod. Satisfied
6400,5,Very Satisfied
6401,18,A Little Dissat
6402,10,Very Dissatisfied
6403,5,NA
6404,11,Very Satisfied
6405,8,NA
6406,12,A Little Dissat
6407,16,Very Satisfied
6408,12,Mod. Satisfied
6409,12,Very Satisfied
6410,16,Mod. Satisfied
6411,12,Very Satisfied
6412,13,Very Satisfied
6413,13,Mod. Satisfied
6414,14,Very Satisfied
6415,15,Mod. Satisfied
6416,11,A Little Dissat
6417,8,Mod. Satisfied
6418,5,Very Satisfied
6419,12,Very Satisfied
6420,10,Very Satisfied
6421,12,Very Satisfied
6422,12,Very Satisfied
6423,16,NA
6424,12,Very Satisfied
6425,8,Very Satisfied
6426,8,Mod. Satisfied
6427,12,Mod. Satisfied
6428,4,Mod. Satisfied
6429,8,Mod. Satisfied
6430,11,Very Satisfied
6431,16,Mod. Satisfied
6432,12,Very Dissatisfied
6433,18,Very Satisfied
6434,12,Very Satisfied
6435,19,Very Satisfied
6436,19,Very Satisfied
6437,3,Mod. Satisfied
6438,12,A Little Dissat
6439,16,Very Satisfied
6440,12,Very Satisfied
6441,15,Mod. Satisfied
6442,12,Very Satisfied
6443,12,Mod. Satisfied
6444,16,Mod. Satisfied
6445,10,Mod. Satisfied
6446,17,Very Satisfied
6447,10,Very Satisfied
6448,6,Very Satisfied
6449,17,A Little Dissat
6450,16,Very Satisfied
6451,7,Mod. Satisfied
6452,16,Mod. Satisfied
6453,10,A Little Dissat
6454,16,Very Satisfied
6455,12,Mod. Satisfied
6456,19,Very Satisfied
6457,12,Mod. Satisfied
6458,12,Very Satisfied
6459,11,Very Dissatisfied
6460,12,Very Satisfied
6461,14,Very Satisfied
6462,12,Mod. Satisfied
6463,9,NA
6464,6,Mod. Satisfied
6465,15,Very Satisfied
6466,12,NA
6467,16,Very Satisfied
6468,8,NA
6469,12,Very Satisfied
6470,12,Very Satisfied
6471,14,Very Satisfied
6472,10,Mod. Satisfied
6473,12,Very Satisfied
6474,7,Very Satisfied
6475,16,Mod. Satisfied
6476,14,Mod. Satisfied
6477,13,Mod. Satisfied
6478,11,Very Satisfied
6479,9,Very Satisfied
6480,12,Very Satisfied
6481,12,Mod. Satisfied
6482,12,Very Satisfied
6483,8,NA
6484,12,Mod. Satisfied
6485,12,A Little Dissat
6486,12,Very Satisfied
6487,17,Very Satisfied
6488,16,Mod. Satisfied
6489,14,Mod. Satisfied
6490,4,Very Satisfied
6491,10,A Little Dissat
6492,3,A Little Dissat
6493,4,NA
6494,13,NA
6495,16,NA
6496,11,NA
6497,12,NA
6498,12,Mod. Satisfied
6499,9,Very Satisfied
6500,6,Very Satisfied
6501,8,Very Dissatisfied
6502,17,NA
6503,10,NA
6504,9,Very Satisfied
6505,11,NA
6506,10,Very Satisfied
6507,11,Very Satisfied
6508,12,Mod. Satisfied
6509,16,Very Satisfied
6510,12,Mod. Satisfied
6511,16,Very Satisfied
6512,12,Mod. Satisfied
6513,14,Mod. Satisfied
6514,7,NA
6515,11,NA
6516,12,Very Satisfied
6517,12,A Little Dissat
6518,14,Very Satisfied
6519,5,Mod. Satisfied
6520,7,Mod. Satisfied
6521,7,Very Dissatisfied
6522,5,Very Satisfied
6523,8,Very Satisfied
6524,12,A Little Dissat
6525,12,Very Satisfied
6526,12,Very Satisfied
6527,12,Very Satisfied
6528,5,Very Satisfied
6529,13,Very Satisfied
6530,17,NA
6531,12,NA
6532,13,A Little Dissat
6533,14,Very Satisfied
6534,12,Mod. Satisfied
6535,12,Mod. Satisfied
6536,12,Mod. Satisfied
6537,12,Very Satisfied
6538,8,Very Satisfied
6539,12,NA
6540,14,Mod. Satisfied
6541,10,Very Dissatisfied
6542,11,Very Satisfied
6543,4,Mod. Satisfied
6544,2,NA
6545,8,NA
6546,12,Very Satisfied
6547,13,A Little Dissat
6548,8,NA
6549,3,Very Satisfied
6550,12,Mod. Satisfied
6551,12,Very Satisfied
6552,8,Very Satisfied
6553,12,Mod. Satisfied
6554,12,Very Satisfied
6555,10,Very Satisfied
6556,7,Very Satisfied
6557,13,NA
6558,17,A Little Dissat
6559,NA,NA
6560,18,Mod. Satisfied
6561,17,Mod. Satisfied
6562,12,Very Satisfied
6563,8,Very Satisfied
6564,10,Very Satisfied
6565,10,Mod. Satisfied
6566,16,Very Satisfied
6567,NA,Very Satisfied
6568,12,Very Satisfied
6569,12,Very Satisfied
6570,10,Very Satisfied
6571,12,Very Satisfied
6572,12,Very Satisfied
6573,11,NA
6574,7,Very Satisfied
6575,12,Mod. Satisfied
6576,NA,Very Satisfied
6577,10,NA
6578,9,Mod. Satisfied
6579,8,A Little Dissat
6580,6,NA
6581,10,Very Satisfied
6582,3,Very Satisfied
6583,9,Very Satisfied
6584,14,NA
6585,14,NA
6586,14,Mod. Satisfied
6587,13,NA
6588,12,Very Satisfied
6589,12,Very Satisfied
6590,17,Mod. Satisfied
6591,17,Very Satisfied
6592,12,Very Satisfied
6593,16,Very Satisfied
6594,9,NA
6595,12,Very Satisfied
6596,11,Very Satisfied
6597,11,Very Satisfied
6598,13,Mod. Satisfied
6599,10,A Little Dissat
6600,12,Very Satisfied
6601,12,NA
6602,14,Very Satisfied
6603,9,NA
6604,10,NA
6605,7,NA
6606,12,Very Dissatisfied
6607,9,Very Satisfied
6608,10,Very Satisfied
6609,13,Mod. Satisfied
6610,14,Mod. Satisfied
6611,13,NA
6612,12,Very Satisfied
6613,12,A Little Dissat
6614,12,Very Satisfied
6615,16,Mod. Satisfied
6616,11,NA
6617,18,Very Satisfied
6618,14,Mod. Satisfied
6619,16,Very Satisfied
6620,10,A Little Dissat
6621,12,Very Satisfied
6622,11,Very Satisfied
6623,18,Mod. Satisfied
6624,19,A Little Dissat
6625,14,A Little Dissat
6626,12,NA
6627,14,Mod. Satisfied
6628,20,Mod. Satisfied
6629,13,Mod. Satisfied
6630,18,Very Dissatisfied
6631,9,NA
6632,11,Mod. Satisfied
6633,11,Mod. Satisfied
6634,15,Very Satisfied
6635,14,NA
6636,12,Very Satisfied
6637,12,Very Dissatisfied
6638,18,Mod. Satisfied
6639,11,Mod. Satisfied
6640,12,Very Satisfied
6641,12,NA
6642,12,Very Satisfied
6643,14,Very Satisfied
6644,19,Very Satisfied
6645,12,Very Satisfied
6646,14,Mod. Satisfied
6647,12,Very Satisfied
6648,12,NA
6649,12,Very Satisfied
6650,12,NA
6651,14,NA
6652,14,Mod. Satisfied
6653,12,Very Satisfied
6654,12,NA
6655,14,Mod. Satisfied
6656,12,Very Satisfied
6657,12,A Little Dissat
6658,10,Very Satisfied
6659,14,Very Satisfied
6660,11,A Little Dissat
6661,12,Very Dissatisfied
6662,12,Very Satisfied
6663,14,Very Satisfied
6664,12,Very Satisfied
6665,8,NA
6666,16,Mod. Satisfied
6667,12,Mod. Satisfied
6668,15,Mod. Satisfied
6669,14,Mod. Satisfied
6670,14,Very Satisfied
6671,13,Very Satisfied
6672,12,Mod. Satisfied
6673,16,NA
6674,12,Very Satisfied
6675,8,Mod. Satisfied
6676,12,Mod. Satisfied
6677,12,Mod. Satisfied
6678,11,Very Dissatisfied
6679,12,Mod. Satisfied
6680,12,Very Satisfied
6681,14,Very Dissatisfied
6682,20,NA
6683,8,NA
6684,12,Very Dissatisfied
6685,10,A Little Dissat
6686,12,Very Satisfied
6687,14,Very Satisfied
6688,12,Very Satisfied
6689,12,Very Satisfied
6690,8,Mod. Satisfied
6691,12,Very Satisfied
6692,8,NA
6693,8,Mod. Satisfied
6694,12,Mod. Satisfied
6695,8,Very Satisfied
6696,10,NA
6697,8,NA
6698,13,Very Satisfied
6699,8,Very Satisfied
6700,8,Mod. Satisfied
6701,8,Mod. Satisfied
6702,18,Mod. Satisfied
6703,12,NA
6704,12,Mod. Satisfied
6705,12,Mod. Satisfied
6706,10,Very Satisfied
6707,7,A Little Dissat
6708,8,Mod. Satisfied
6709,8,Very Satisfied
6710,7,Mod. Satisfied
6711,9,Very Satisfied
6712,9,Mod. Satisfied
6713,8,Mod. Satisfied
6714,7,A Little Dissat
6715,14,Mod. Satisfied
6716,14,NA
6717,12,Mod. Satisfied
6718,7,Very Satisfied
6719,13,NA
6720,12,Mod. Satisfied
6721,16,Mod. Satisfied
6722,16,Very Satisfied
6723,18,Very Satisfied
6724,18,Very Satisfied
6725,16,Mod. Satisfied
6726,7,Very Satisfied
6727,9,Very Satisfied
6728,6,Very Satisfied
6729,12,Very Satisfied
6730,12,Very Satisfied
6731,12,Very Satisfied
6732,4,Mod. Satisfied
6733,8,Very Satisfied
6734,12,Very Satisfied
6735,17,A Little Dissat
6736,11,Mod. Satisfied
6737,12,Very Satisfied
6738,14,A Little Dissat
6739,9,Very Satisfied
6740,14,Mod. Satisfied
6741,12,Mod. Satisfied
6742,14,Very Satisfied
6743,10,Mod. Satisfied
6744,6,NA
6745,12,NA
6746,12,Mod. Satisfied
6747,16,Mod. Satisfied
6748,13,Mod. Satisfied
6749,10,Very Satisfied
6750,11,Very Dissatisfied
6751,10,A Little Dissat
6752,11,A Little Dissat
6753,8,NA
6754,14,Mod. Satisfied
6755,12,Very Satisfied
6756,18,Mod. Satisfied
6757,5,Very Satisfied
6758,14,Very Satisfied
6759,13,Very Satisfied
6760,14,Very Satisfied
6761,13,NA
6762,12,NA
6763,12,Very Satisfied
6764,13,Very Satisfied
6765,15,Very Satisfied
6766,8,Very Satisfied
6767,8,NA
6768,16,NA
6769,10,Very Satisfied
6770,12,Very Satisfied
6771,15,NA
6772,8,NA
6773,12,Very Dissatisfied
6774,12,Very Satisfied
6775,10,Very Satisfied
6776,11,Mod. Satisfied
6777,8,Mod. Satisfied
6778,13,Mod. Satisfied
6779,8,Very Satisfied
6780,11,A Little Dissat
6781,12,Very Dissatisfied
6782,10,NA
6783,12,Very Satisfied
6784,12,Very Satisfied
6785,12,Very Satisfied
6786,12,Mod. Satisfied
6787,8,NA
6788,8,Very Satisfied
6789,8,Very Satisfied
6790,12,Very Satisfied
6791,0,Very Satisfied
6792,12,Very Satisfied
6793,8,Very Satisfied
6794,7,Very Satisfied
6795,12,Very Satisfied
6796,16,Very Satisfied
6797,13,NA
6798,9,Mod. Satisfied
6799,5,NA
6800,4,Mod. Satisfied
6801,8,Mod. Satisfied
6802,8,Very Satisfied
6803,16,Mod. Satisfied
6804,7,Very Satisfied
6805,9,Mod. Satisfied
6806,4,Very Dissatisfied
6807,7,Very Satisfied
6808,7,Mod. Satisfied
6809,4,Mod. Satisfied
6810,0,NA
6811,12,NA
6812,7,NA
6813,12,Very Satisfied
6814,12,Mod. Satisfied
6815,8,Very Satisfied
6816,12,Very Satisfied
6817,7,NA
6818,16,Mod. Satisfied
6819,10,Mod. Satisfied
6820,4,Mod. Satisfied
6821,10,Mod. Satisfied
6822,13,NA
6823,14,Very Satisfied
6824,10,Very Satisfied
6825,10,Very Satisfied
6826,8,NA
6827,9,Very Satisfied
6828,10,Mod. Satisfied
6829,9,NA
6830,11,Mod. Satisfied
6831,9,Very Satisfied
6832,12,Very Satisfied
6833,12,Very Satisfied
6834,10,Mod. Satisfied
6835,10,Very Satisfied
6836,14,Very Satisfied
6837,8,Mod. Satisfied
6838,10,Mod. Satisfied
6839,11,Mod. Satisfied
6840,12,Mod. Satisfied
6841,12,Mod. Satisfied
6842,13,A Little Dissat
6843,12,Mod. Satisfied
6844,12,Very Satisfied
6845,12,Very Satisfied
6846,12,NA
6847,16,Mod. Satisfied
6848,12,Very Satisfied
6849,16,Mod. Satisfied
6850,16,Very Dissatisfied
6851,11,Mod. Satisfied
6852,10,Mod. Satisfied
6853,9,NA
6854,12,Very Satisfied
6855,12,Very Satisfied
6856,11,NA
6857,7,Very Satisfied
6858,8,NA
6859,16,NA
6860,8,Mod. Satisfied
6861,13,Mod. Satisfied
6862,12,Mod. Satisfied
6863,12,NA
6864,12,NA
6865,12,A Little Dissat
6866,6,NA
6867,8,NA
6868,11,A Little Dissat
6869,16,Mod. Satisfied
6870,16,Very Satisfied
6871,16,Mod. Satisfied
6872,10,NA
6873,12,Very Satisfied
6874,12,Mod. Satisfied
6875,12,Mod. Satisfied
6876,16,Mod. Satisfied
6877,14,Very Dissatisfied
6878,12,A Little Dissat
6879,13,Very Satisfied
6880,10,Mod. Satisfied
6881,17,A Little Dissat
6882,10,Very Satisfied
6883,12,A Little Dissat
6884,8,Very Satisfied
6885,4,Very Satisfied
6886,13,Mod. Satisfied
6887,8,NA
6888,9,Very Satisfied
6889,8,Mod. Satisfied
6890,12,Mod. Satisfied
6891,8,NA
6892,8,NA
6893,7,Very Satisfied
6894,11,Mod. Satisfied
6895,12,Very Satisfied
6896,12,Very Satisfied
6897,10,Mod. Satisfied
6898,8,Very Satisfied
6899,12,A Little Dissat
6900,12,Very Satisfied
6901,17,Very Satisfied
6902,14,A Little Dissat
6903,16,Mod. Satisfied
6904,17,Mod. Satisfied
6905,12,Very Satisfied
6906,14,Very Satisfied
6907,17,Very Satisfied
6908,12,NA
6909,16,Very Satisfied
6910,12,Mod. Satisfied
6911,10,Very Dissatisfied
6912,9,Very Satisfied
6913,8,NA
6914,10,Very Satisfied
6915,12,Very Satisfied
6916,17,Very Satisfied
6917,16,NA
6918,7,NA
6919,15,NA
6920,13,Mod. Satisfied
6921,11,Very Satisfied
6922,18,Very Satisfied
6923,12,Very Satisfied
6924,12,A Little Dissat
6925,16,A Little Dissat
6926,14,Mod. Satisfied
6927,10,Very Satisfied
6928,8,Mod. Satisfied
6929,10,Mod. Satisfied
6930,10,Very Satisfied
6931,12,Mod. Satisfied
6932,12,Very Satisfied
6933,12,Mod. Satisfied
6934,12,Very Satisfied
6935,12,Mod. Satisfied
6936,14,Mod. Satisfied
6937,12,Very Satisfied
6938,12,Mod. Satisfied
6939,12,NA
6940,14,Mod. Satisfied
6941,14,NA
6942,18,Very Satisfied
6943,12,Mod. Satisfied
6944,12,A Little Dissat
6945,12,Mod. Satisfied
6946,3,NA
6947,12,NA
6948,18,Mod. Satisfied
6949,16,Very Satisfied
6950,12,Mod. Satisfied
6951,18,A Little Dissat
6952,12,Very Satisfied
6953,12,Mod. Satisfied
6954,16,Very Dissatisfied
6955,14,Mod. Satisfied
6956,16,Mod. Satisfied
6957,12,Very Satisfied
6958,8,NA
6959,12,Very Dissatisfied
6960,12,Very Dissatisfied
6961,15,Very Satisfied
6962,9,Mod. Satisfied
6963,5,NA
6964,13,NA
6965,10,Mod. Satisfied
6966,13,NA
6967,9,NA
6968,12,Very Satisfied
6969,9,Very Satisfied
6970,16,Very Satisfied
6971,15,NA
6972,12,Very Satisfied
6973,12,Mod. Satisfied
6974,12,Very Satisfied
6975,17,Very Satisfied
6976,13,NA
6977,12,Very Satisfied
6978,12,Very Satisfied
6979,12,A Little Dissat
6980,10,NA
6981,6,Mod. Satisfied
6982,13,Very Satisfied
6983,12,Very Satisfied
6984,14,A Little Dissat
6985,12,Very Satisfied
6986,11,Very Dissatisfied
6987,12,Mod. Satisfied
6988,12,Mod. Satisfied
6989,4,NA
6990,14,Very Satisfied
6991,12,Very Satisfied
6992,12,Mod. Satisfied
6993,12,Very Satisfied
6994,13,Very Satisfied
6995,12,Mod. Satisfied
6996,16,NA
6997,12,Very Satisfied
6998,12,A Little Dissat
6999,12,Mod. Satisfied
7000,12,Mod. Satisfied
7001,14,NA
7002,12,Mod. Satisfied
7003,14,A Little Dissat
7004,12,Very Satisfied
7005,11,Mod. Satisfied
7006,12,Very Dissatisfied
7007,12,Very Satisfied
7008,10,Very Satisfied
7009,12,Very Dissatisfied
7010,12,Very Satisfied
7011,20,Very Satisfied
7012,11,Very Satisfied
7013,10,Mod. Satisfied
7014,12,NA
7015,12,NA
7016,16,Mod. Satisfied
7017,12,Very Satisfied
7018,12,Very Satisfied
7019,6,NA
7020,12,Mod. Satisfied
7021,16,Very Satisfied
7022,12,Mod. Satisfied
7023,11,NA
7024,12,Very Satisfied
7025,16,Very Satisfied
7026,9,NA
7027,16,A Little Dissat
7028,13,NA
7029,12,Very Satisfied
7030,9,Very Satisfied
7031,20,Very Satisfied
7032,20,NA
7033,12,NA
7034,17,Very Satisfied
7035,16,Very Satisfied
7036,12,NA
7037,10,Very Satisfied
7038,12,A Little Dissat
7039,8,Very Satisfied
7040,12,Very Satisfied
7041,10,NA
7042,15,A Little Dissat
7043,11,NA
7044,10,A Little Dissat
7045,NA,Very Satisfied
7046,15,Very Satisfied
7047,10,NA
7048,8,Very Satisfied
7049,10,Mod. Satisfied
7050,12,Mod. Satisfied
7051,11,NA
7052,12,Very Satisfied
7053,11,Very Satisfied
7054,11,A Little Dissat
7055,12,Very Satisfied
7056,16,Very Satisfied
7057,13,Very Satisfied
7058,11,Very Satisfied
7059,12,NA
7060,14,Very Satisfied
7061,16,Very Satisfied
7062,12,Very Satisfied
7063,12,Mod. Satisfied
7064,12,Very Satisfied
7065,12,Very Satisfied
7066,12,NA
7067,16,NA
7068,12,Mod. Satisfied
7069,12,Very Dissatisfied
7070,13,Mod. Satisfied
7071,11,NA
7072,10,NA
7073,5,Very Satisfied
7074,12,A Little Dissat
7075,12,Very Satisfied
7076,12,NA
7077,4,Very Satisfied
7078,8,Very Satisfied
7079,16,Mod. Satisfied
7080,16,Very Satisfied
7081,12,Very Satisfied
7082,16,Very Satisfied
7083,13,Very Satisfied
7084,12,A Little Dissat
7085,16,Very Satisfied
7086,12,Very Satisfied
7087,17,Mod. Satisfied
7088,11,Very Satisfied
7089,12,Very Satisfied
7090,12,Mod. Satisfied
7091,11,A Little Dissat
7092,14,NA
7093,12,Mod. Satisfied
7094,11,Mod. Satisfied
7095,12,Very Satisfied
7096,12,Mod. Satisfied
7097,10,Very Satisfied
7098,8,Very Satisfied
7099,16,Very Satisfied
7100,11,Very Satisfied
7101,10,Very Satisfied
7102,13,NA
7103,15,A Little Dissat
7104,11,Very Satisfied
7105,11,Very Satisfied
7106,16,Very Satisfied
7107,14,Very Satisfied
7108,3,Very Satisfied
7109,15,Mod. Satisfied
7110,12,Very Satisfied
7111,9,Very Satisfied
7112,11,NA
7113,12,A Little Dissat
7114,12,A Little Dissat
7115,12,Very Satisfied
7116,14,A Little Dissat
7117,12,Mod. Satisfied
7118,11,A Little Dissat
7119,12,Very Satisfied
7120,13,Mod. Satisfied
7121,12,A Little Dissat
7122,17,Very Satisfied
7123,13,Very Satisfied
7124,14,Mod. Satisfied
7125,16,Very Satisfied
7126,12,Very Satisfied
7127,7,A Little Dissat
7128,16,Mod. Satisfied
7129,7,NA
7130,8,Mod. Satisfied
7131,13,Very Satisfied
7132,12,Mod. Satisfied
7133,12,Mod. Satisfied
7134,17,Mod. Satisfied
7135,NA,Mod. Satisfied
7136,14,Mod. Satisfied
7137,13,NA
7138,3,NA
7139,9,Very Satisfied
7140,12,Very Satisfied
7141,14,Mod. Satisfied
7142,10,NA
7143,12,Very Satisfied
7144,13,Very Satisfied
7145,12,Mod. Satisfied
7146,12,Very Satisfied
7147,13,Very Satisfied
7148,12,NA
7149,14,Mod. Satisfied
7150,12,Mod. Satisfied
7151,13,Very Dissatisfied
7152,16,A Little Dissat
7153,20,Very Satisfied
7154,16,Mod. Satisfied
7155,20,Very Satisfied
7156,12,NA
7157,13,A Little Dissat
7158,12,Mod. Satisfied
7159,10,Very Dissatisfied
7160,16,Very Satisfied
7161,12,NA
7162,8,NA
7163,3,NA
7164,12,Mod. Satisfied
7165,13,Very Satisfied
7166,12,Very Satisfied
7167,11,NA
7168,8,A Little Dissat
7169,10,Mod. Satisfied
7170,12,Mod. Satisfied
7171,8,NA
7172,13,Very Satisfied
7173,18,NA
7174,19,Very Satisfied
7175,12,Mod. Satisfied
7176,16,Very Satisfied
7177,14,NA
7178,11,Mod. Satisfied
7179,16,NA
7180,14,Very Satisfied
7181,14,Very Dissatisfied
7182,12,NA
7183,11,Mod. Satisfied
7184,13,Very Satisfied
7185,14,A Little Dissat
7186,7,NA
7187,12,Mod. Satisfied
7188,12,Very Satisfied
7189,12,Very Satisfied
7190,12,Mod. Satisfied
7191,8,Very Satisfied
7192,5,NA
7193,12,Very Dissatisfied
7194,12,Very Satisfied
7195,8,Very Satisfied
7196,12,Very Satisfied
7197,12,Mod. Satisfied
7198,12,Very Satisfied
7199,8,Very Satisfied
7200,12,Mod. Satisfied
7201,12,Very Dissatisfied
7202,16,Mod. Satisfied
7203,12,A Little Dissat
7204,12,Mod. Satisfied
7205,12,Very Satisfied
7206,12,Very Satisfied
7207,14,NA
7208,8,NA
7209,10,Very Satisfied
7210,12,Mod. Satisfied
7211,15,NA
7212,10,NA
7213,12,A Little Dissat
7214,6,Mod. Satisfied
7215,12,Very Satisfied
7216,10,A Little Dissat
7217,7,A Little Dissat
7218,8,NA
7219,12,Very Satisfied
7220,12,Mod. Satisfied
7221,12,Mod. Satisfied
7222,10,NA
7223,10,Very Satisfied
7224,12,Mod. Satisfied
7225,12,Very Satisfied
7226,12,A Little Dissat
7227,8,NA
7228,7,NA
7229,8,Very Satisfied
7230,12,Very Satisfied
7231,12,Mod. Satisfied
7232,8,NA
7233,9,Mod. Satisfied
7234,11,Very Satisfied
7235,12,Very Satisfied
7236,13,Mod. Satisfied
7237,9,NA
7238,7,NA
7239,11,NA
7240,12,Mod. Satisfied
7241,12,NA
7242,13,A Little Dissat
7243,9,NA
7244,6,Mod. Satisfied
7245,11,Very Satisfied
7246,9,A Little Dissat
7247,16,Very Satisfied
7248,10,NA
7249,6,Very Satisfied
7250,9,Mod. Satisfied
7251,14,NA
7252,12,Very Satisfied
7253,12,Very Satisfied
7254,14,Very Satisfied
7255,12,Very Satisfied
7256,16,NA
7257,12,NA
7258,12,Very Satisfied
7259,16,NA
7260,12,Very Satisfied
7261,16,Very Satisfied
7262,15,Very Satisfied
7263,14,Very Satisfied
7264,16,Mod. Satisfied
7265,12,Very Satisfied
7266,14,Mod. Satisfied
7267,19,Very Satisfied
7268,8,NA
7269,12,A Little Dissat
7270,10,Mod. Satisfied
7271,20,NA
7272,8,NA
7273,16,Very Satisfied
7274,12,Very Satisfied
7275,11,Very Satisfied
7276,9,NA
7277,12,Very Satisfied
7278,12,Very Satisfied
7279,9,Very Satisfied
7280,7,Mod. Satisfied
7281,12,Very Satisfied
7282,16,Mod. Satisfied
7283,15,NA
7284,13,Mod. Satisfied
7285,16,Very Satisfied
7286,12,NA
7287,8,NA
7288,12,Very Satisfied
7289,8,Very Satisfied
7290,12,Very Satisfied
7291,12,Very Satisfied
7292,16,Very Satisfied
7293,17,Very Satisfied
7294,15,NA
7295,12,Mod. Satisfied
7296,11,A Little Dissat
7297,12,NA
7298,8,Very Satisfied
7299,12,NA
7300,14,Mod. Satisfied
7301,19,Very Satisfied
7302,4,NA
7303,12,NA
7304,16,Very Satisfied
7305,9,Very Satisfied
7306,12,Very Dissatisfied
7307,4,NA
7308,14,Mod. Satisfied
7309,12,Very Satisfied
7310,8,Very Satisfied
7311,11,Mod. Satisfied
7312,12,Mod. Satisfied
7313,8,Very Satisfied
7314,15,Mod. Satisfied
7315,8,Mod. Satisfied
7316,18,Mod. Satisfied
7317,14,NA
7318,10,Very Dissatisfied
7319,12,Very Satisfied
7320,14,Mod. Satisfied
7321,16,Very Satisfied
7322,8,NA
7323,14,Very Satisfied
7324,10,Very Satisfied
7325,12,Mod. Satisfied
7326,14,Mod. Satisfied
7327,9,Very Satisfied
7328,12,Mod. Satisfied
7329,7,Mod. Satisfied
7330,12,Very Dissatisfied
7331,12,Very Satisfied
7332,9,NA
7333,2,NA
7334,10,NA
7335,4,NA
7336,8,NA
7337,13,Very Satisfied
7338,11,Mod. Satisfied
7339,9,Mod. Satisfied
7340,19,Very Satisfied
7341,12,Very Satisfied
7342,14,NA
7343,5,Very Satisfied
7344,10,Mod. Satisfied
7345,9,Mod. Satisfied
7346,12,NA
7347,7,Mod. Satisfied
7348,10,A Little Dissat
7349,12,Very Satisfied
7350,10,A Little Dissat
7351,14,Very Satisfied
7352,14,Mod. Satisfied
7353,11,A Little Dissat
7354,12,Very Satisfied
7355,16,Very Satisfied
7356,17,Very Satisfied
7357,19,Very Satisfied
7358,16,Very Satisfied
7359,12,A Little Dissat
7360,12,Very Satisfied
7361,11,Very Satisfied
7362,7,Very Satisfied
7363,7,Very Satisfied
7364,7,Mod. Satisfied
7365,14,Mod. Satisfied
7366,14,Very Satisfied
7367,16,Very Satisfied
7368,12,Very Satisfied
7369,12,A Little Dissat
7370,14,Very Satisfied
7371,20,Mod. Satisfied
7372,16,NA
7373,10,A Little Dissat
7374,16,A Little Dissat
7375,19,Very Satisfied
7376,12,NA
7377,20,Mod. Satisfied
7378,8,Very Satisfied
7379,13,NA
7380,13,Very Satisfied
7381,12,Mod. Satisfied
7382,19,Mod. Satisfied
7383,8,Very Satisfied
7384,14,NA
7385,12,Mod. Satisfied
7386,14,Very Satisfied
7387,11,Very Satisfied
7388,9,Very Satisfied
7389,12,Very Satisfied
7390,11,Very Satisfied
7391,12,NA
7392,12,NA
7393,8,Mod. Satisfied
7394,12,Mod. Satisfied
7395,3,Very Satisfied
7396,12,Mod. Satisfied
7397,17,Very Satisfied
7398,12,Very Dissatisfied
7399,12,Mod. Satisfied
7400,18,Very Satisfied
7401,13,Very Dissatisfied
7402,13,NA
7403,8,Very Satisfied
7404,12,Very Dissatisfied
7405,13,Very Satisfied
7406,12,NA
7407,16,Very Satisfied
7408,12,Very Satisfied
7409,13,Mod. Satisfied
7410,17,Very Satisfied
7411,12,Very Satisfied
7412,12,NA
7413,12,Mod. Satisfied
