caseid,educ,satjob
306,12,Very Dissatisfied
307,9,NA
308,NA,NA
309,11,Mod. Satisfied
310,9,NA
311,12,Very Satisfied
312,11,NA
313,12,A Little Dissat
314,7,NA
315,0,Very Satisfied
316,7,NA
317,11,Mod. Satisfied
318,16,Mod. Satisfied
319,0,NA
320,14,Very Satisfied
321,8,Very Satisfied
322,18,Very Satisfied
323,12,Mod. Satisfied
324,3,NA
325,12,Very Satisfied
326,12,NA
327,18,Very Satisfied
328,16,Mod. Satisfied
329,12,Mod. Satisfied
330,12,NA
331,11,NA
332,13,NA
333,8,Mod. Satisfied
334,16,Mod. Satisfied
335,16,NA
336,3,Mod. Satisfied
337,11,NA
338,3,Mod. Satisfied
339,11,Very Satisfied
340,11,Mod. Satisfied
341,12,Mod. Satisfied
342,4,Very Satisfied
343,9,Mod. Satisfied
344,2,Very Satisfied
345,0,NA
346,2,Mod. Satisfied
347,8,NA
348,8,Mod. Satisfied
349,14,Mod. Satisfied
350,12,Very Satisfied
351,17,Very Satisfied
352,12,A Little Dissat
353,12,Very Satisfied
354,12,Very Satisfied
355,6,NA
356,5,NA
357,8,Mod. Satisfied
358,6,NA
359,9,NA
360,9,Very Satisfied
361,5,Very Satisfied
362,8,Mod. Satisfied
363,14,NA
364,12,NA
365,12,NA
366,8,Very Satisfied
367,10,Mod. Satisfied
368,9,Mod. Satisfied
369,12,NA
370,5,NA
371,12,Mod. Satisfied
372,12,Very Satisfied
373,3,NA
374,12,Mod. Satisfied
375,12,Very Satisfied
376,11,Very Satisfied
377,12,Mod. Satisfied
378,7,NA
379,12,NA
380,8,NA
381,8,Mod. Satisfied
382,8,Very Satisfied
383,18,NA
384,12,Mod. Satisfied
385,13,Very Satisfied
386,10,NA
387,7,Very Satisfied
388,14,Mod. Satisfied
389,6,NA
390,14,Very Satisfied
391,13,NA
392,8,NA
393,9,NA
394,13,A Little Dissat
395,16,Mod. Satisfied
396,11,Very Satisfied
397,4,Very Satisfied
398,14,NA
399,7,Mod. Satisfied
400,10,A Little Dissat
401,6,NA
402,8,Very Satisfied
403,7,Very Satisfied
404,8,Very Satisfied
405,9,NA
406,12,NA
407,12,NA
408,8,NA
409,11,NA
410,8,Very Satisfied
411,17,Very Satisfied
412,4,Very Dissatisfied
413,2,Very Satisfied
414,11,Very Satisfied
415,12,Mod. Satisfied
416,12,NA
417,11,Very Satisfied
418,17,A Little Dissat
419,7,NA
420,12,NA
